-2.64148E+00 0  
-2.43013E+00 1  
-1.70784E+00 2  
-1.48840E+00 3  
-1.24431E+00 4  
-1.22296E+00 5  
-1.46493E+00 6  
-1.37456E+00 7  
-1.06042E+00 8  
-1.08719E+00 9  
-7.98080E-01 10 
-6.91630E-01 11 
-5.29097E-01 12 
-7.59110E-01 13 
-7.96486E-01 14 
-5.83650E-01 15 
-5.67035E-01 16 
-5.54370E-01 17 
-5.58354E-01 18 
-4.42153E-01 19 
-5.31631E-01 20 
-3.67621E-01 21 
-2.35836E-01 22 
-3.03352E-01 23 
-1.23011E-01 24 
-3.10858E-01 25 
-2.79462E-01 26 
-3.07822E-01 27 
-3.90367E-01 28 
-2.83299E-01 29 
-3.25716E-01 30 
-2.32968E-01 31 
-6.45337E-02 32 
-7.54033E-02 33 
 1.03627E-01 34 
 1.10993E-01 35 
 1.57424E-01 36 
 1.12755E-01 37 
 1.15172E-01 38 
 1.96417E-01 39 
 1.59601E-01 40 
 2.11292E-01 41 
 1.83952E-01 42 
 2.25986E-01 43 
 2.67051E-01 44 
 1.72728E-01 45 
 2.87346E-01 46 
 2.34241E-01 47 
 2.50449E-01 48 
 1.53213E-01 49 
 2.73509E-01 50 
 2.20303E-01 51 
 1.71445E-01 52 
 2.94302E-01 53 
 2.40149E-01 54 
 1.62477E-01 55 
 2.70177E-01 56 
 1.97067E-01 57 
 1.49844E-01 58 
 3.15566E-01 59 
 2.14724E-01 60 
 2.78222E-01 61 
 3.41295E-01 62 
 3.99265E-01 63 
 4.07313E-01 64 
 4.55684E-01 65 
 4.37392E-01 66 
 4.56385E-01 67 
 4.88812E-01 68 
 4.47293E-01 69 
 5.02562E-01 70 
